session_id,question_number_in_session,question_index_in_dataset,mode,seed,start_index,question,model_answer,ground_truth_aliases,is_correct,elapsed_time_seconds,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,energy_joules_estimate
20260610_131321,1,3648,random,42,,What was first worn by British soldiers in India in 1845?,"The British Army’s first uniform was the “Indian” uniform, which was a version of the British Army’s “Blue” uniform.","[""Khaki"", ""Kackeys"", ""Kackey pants"", ""Khakis"", ""Khaki (colour)"", ""Dark khaki"", ""Khaki (color)"", ""Cackeys""]",False,1.0883,6690.0,32607.0,141.14,153.601
20260610_131321,2,819,random,42,,Which US gangster was released from Alcatraz prison in November 1939?,Al Capone,"[""Alfonse %22Scarface%22 Capone"", ""CaPone"", ""Alphonse Gabriel %22Al%22 Capone"", ""Mae Capone"", ""Alphonse G Capone"", ""Al Capone"", ""Capone"", ""Alphonse Gabriel Capone"", ""Scarface (American gangster)"", ""Al Cappone"", ""Mae Coughlin"", ""Alphonse Capone"", ""Scarface Capone"", ""Al capone"", ""Albert Francis Capone"", ""Alphonse G. Capone""]",True,0.7301,6692.0,32607.0,174.48,127.3876
20260610_131321,3,9012,random,42,,Of which tribe of Red Indians was Geronimo a chief,Chiricahua,"[""Apache Nation"", ""Apche indian tribe"", ""ˀa˙paču"", ""Apacheans"", ""Apache Indians"", ""Apache (tribe)"", ""Apaches"", ""Apache indians"", ""Apache people"", ""Apache Tribe"", ""Apache tribe"", ""Apachean"", ""Apache""]",False,0.7188,6690.0,32607.0,175.86,126.3995
20260610_131321,4,8024,random,42,,Which rank of the RAF is equivalent to Major in the British Army?,Squadron Leader,"[""Squadron leader/page history"", ""Squadron Officer"", ""Squadron leader"", ""Acting Squadron Leader"", ""Squadron leaders"", ""Sqn Ldr"", ""Squadron Leader"", ""SQNLDR""]",True,0.7231,6690.0,32607.0,176.62,127.7118
20260610_131321,5,7314,random,42,,Name the capital city of the Canadian Province of British Columbia?,Victoria,"[""CIVI-TV"", ""A Victoria"", ""A-Channel Vancouver Island"", ""A-Victoria"", ""CTV Two Vancouver Island"", ""A-Channel Victoria"", ""CIVI-DT-2"", ""VICTORIA"", ""CTV Vancouver Island"", ""A Vancouver Island"", ""'A' Vancouver"", ""%22A%22 Vancouver"", ""%22A%22 Vancouver Island"", ""'A' Vancouver Island"", ""CIVI-DT"", ""The New VI"", ""CTV Two Victoria"", ""'A' Victoria"", ""CIVI"", ""%22A%22 Victoria""]",True,0.7267,6690.0,32607.0,177.33,128.8695
20260610_131321,6,4572,random,42,,Quitline is a system of centres to help people to quit what?,Smoking,"[""Tobacco or alcohol""]",False,0.7272,6689.0,32607.0,175.98,127.9753
20260610_131321,7,3358,random,42,,To what note is the top string on a six-string guitar normally tuned?,A,"[""⒠"", ""Ｅ"", ""🄔"", ""🅴"", ""E (letter)"", ""🄴"", ""E"", ""🅔""]",False,0.7209,6683.0,32607.0,176.23,127.0439
20260610_131321,8,17870,random,42,,"Named for its chairman, The Warren Commission published its final report on Sept 27, 1965. What event was it seated to investigate?",The assassination of President John F. Kennedy,"[""Shooting of John F. Kennedy"", ""Dealey Plaza shootings"", ""President Kennedy's assassination"", ""J.F.K assassination"", ""JFK assassination"", ""Assassination of JFK"", ""Assassination of President Kennedy"", ""Assassination of John F. Kennedy"", ""Kennedy assassination"", ""Death of JFK"", ""November 22, 1963"", ""Faye Chism"", ""Kennedy assasination"", ""Assassination of John Kennedy"", ""Shooting of JFK"", ""Kennedy's assassination"", ""The Kennedy assassination"", ""JFK Assassination"", ""Assassination of Kennedy"", ""Assassination of United States President John F. Kennedy"", ""John F kennedy assassination"", ""John F. Kennedy assassination"", ""John F. Kennedy's assassination"", ""Assassination of john f. kennedy"", ""John Fitzgerald Kennedy's assassination"", ""Killing of JFK"", ""John F. Kennedy Assassination"", ""Assassanation of John F. Kennedy"", ""Kennedy Assassination"", ""JFK shooting"", ""Kennedy assassination theories"", ""The Assassination of JFK"", ""Back and to the left"", ""Jfk assassination"", ""John F.Kennedy assassination"", ""Murder of JFK"", ""Assassination of John Fitzgerald Kennedy"", ""John F Kennedy assassination"", ""Assassination Information Bureau"", ""Murder of John F. Kennedy"", ""John f. kennedy assassination"", ""JFK blown away"", ""Death of John F. Kennedy"", ""JFK's Assassination"", ""Kennedy Assasination"", ""Assassination of john f kennedy"", ""J.F.K. Assassination"", ""JFK murder"", ""John F. Kennedy assassination/Archive 4"", ""Emmett Hudson"", ""Assassination of jfk"", ""JFK assasination"", ""Assassination of John F Kennedy"", ""John f kennedy assassination"", ""Clark Panel"", ""Assassination of President John F. Kennedy""]",True,0.7222,6686.0,32607.0,177.85,128.436
20260610_131321,9,2848,random,42,,"A Gay Girl in Damascus is the title of a hoax blog by fictional feminist/freedom campaigner Amina Abdallah Alaf al Omari, who in June 2011 was said to be based and abducted in which country?",Syria,"[""الجمهورية العربية السورية"", ""Amorrhitis"", ""سوريا"", ""Sport in Syria"", ""Syrian Arab Republic"", ""Administrative divisions of Syria"", ""Sūrīyah"", ""Arab Republic of Syria"", ""Assad government"", ""Assad regime"", ""Etymology of Syria"", ""Subdivisions of Syria"", ""الجمهوريّة العربيّة السّوريّة"", ""Sūriyā"", ""ISO 3166-1:SY"", ""Assad Government"", ""Syria"", ""Northern Syria"", ""Syrie"", ""Syrien"", ""Souria"", ""Sourie"", ""Suriyah"", ""Syrian (language)""]",True,0.7255,6682.0,32607.0,178.04,129.1721
20260610_131321,10,13825,random,42,,What was the central meeting place of ancient Rome?,Forum,"[""The Forum (disambiguation)"", ""Fori"", ""Forum"", ""The Forum"", ""Fora"", ""The Forum (magazine)"", ""Forum (disambiguation)"", ""Forums"", ""Forum (magazine)""]",True,0.7294,6676.0,32607.0,176.17,128.5049
