session_id,num_questions,mode,seed,start_index,question_number_in_session,question_index_in_dataset,question,model_answer,ground_truth_aliases,is_correct,processing_time,inference_time,local_total_time,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,energy_joules_estimate
20260630_114327,100,random,45,,1,8908,What was the nickname of the American World War 2 General Joe Stilwell,“The Generalissimo”,"[""Vinegar Joe (disambiguation)"", ""Vinegar Joe""]",False,0.036,0.8239,0.8599,7582.0,32607.0,173.4,142.8595
20260630_114327,100,random,45,,2,13686,"""Who, as part of his performance in the 2015 film """"Revenant"""", was realistically eviscerated by a bear on screen?""",Leonardo DiCaprio,"[""Leonardo D%60caprio"", ""Leonardo di Caprio"", ""Leonardo D'caprio"", ""Leonardo Dcaprio"", ""DiCaprio"", ""Atari (film)"", ""Leonard DiCaprio"", ""Leo Di"", ""Leonardo Wilhelm DiCaprio"", ""Leonardo D.Caprio"", ""Leonardo Dicaprio"", ""Leonardo Di Caprio"", ""Leonard Di Caprio"", ""Leonardo D Caprio"", ""The Many Deaths of Barnaby James (film)"", ""Leonardo dicaprio"", ""Portofino (film)"", ""Leonardo Decaprio"", ""Leo DiCaprio"", ""Running Out of Dog"", ""Fleming (film)"", ""Leo dicaprio"", ""Leonardo DeCaprio"", ""Appian Way Productions"", ""Leonardo De Caprio"", ""Running Out of Dog (film)"", ""Leonardo D. Caprio"", ""Leanardo dicaprio"", ""Leonardo D' Caprio"", ""Dicaprio"", ""The Many Deaths of Barnaby James"", ""Di Caprio"", ""Leonardo DiCaprio""]",True,0.0319,0.821,0.8529,7587.0,32607.0,174.05,142.8875
20260630_114327,100,random,45,,3,15991,"The Battle of the Plains of Abraham in 1759, a pivotal battle in the Seven Years' War fought between the English and the French, is the only major confrontation ever to have taken place in what country?",Canada,"[""Canada"", ""Canadá"", ""The Dominion of Canada"", ""Commonwealth of Canada"", ""Dominion of canada"", ""ISO 3166-1:CA"", ""Etymology of Canada"", ""CANADA"", ""Canadiophile"", ""Canada's"", ""ᑲᓇᑕ"", ""Canada/References"", ""America's top hat"", ""Canada."", ""Cnada"", ""Čanada"", ""Canadian Federation"", ""Kenadian"", ""Canadialand"", ""Xanada"", ""Dominion of Canada"", ""Canadaa""]",True,0.0438,0.8109,0.8547,7587.0,32607.0,174.2,141.2517
20260630_114327,100,random,45,,4,8443,Which 17th/18th century Irish politician leader was nicknamed 'the Liberator”?,Wolfe Tone,"[""'monster meetings'"", ""Daniel O’Connell"", ""Dónal Ó Conaill"", ""Monster meetings"", ""Daniel O'Connell"", ""Dónall Ó Conaill"", ""Danial O'Connell""]",False,0.0324,0.8125,0.8449,7587.0,32607.0,174.42,141.7207
20260630_114327,100,random,45,,5,2683,Turin lies on which river?,Po,"[""Po (disambiguation)"", "".po (disambiguation)"", ""PO (disambiguation)"", ""Po"", ""Po."", ""P/O"", ""P.o."", ""P O"", ""PO"", ""P.O.""]",True,0.0413,0.8192,0.8605,7587.0,32607.0,174.39,142.854
20260630_114327,100,random,45,,6,9934,What online travel agency uses The Roaming Gnome as its' TV spokesperson?,Expedia,"[""AllHotels"", ""Travelocity"", ""Easy Sabre"", ""SAABRE"", ""Eaasy Sabre"", ""Easy Saabre"", ""Travelocity.com"", ""Saabre"", ""Eaasy SABRE"", ""Travelosity"", ""Easy SAABRE"", ""Travelocity Business"", ""The roaming gnome"", ""Easy SABRE""]",False,0.0329,0.8169,0.8498,7587.0,32607.0,174.31,142.3966
20260630_114327,100,random,45,,7,11099,Rolf Harris recorded a 1964 single calling for which member of The Beatles ‘For President’?,John Lennon,"[""RINGO"", ""Starr, Ringo"", ""Richard Starkey, Jr."", ""Beatle Ringo"", ""Ringo Star"", ""Richie Snare"", ""Ringo starkey"", ""Ringo Starr"", ""Ringo Starkey"", ""Ringo"", ""Richard Starkey"", ""%22Ringo%22"", ""Richard Starky"", ""Richard Starrkey"", ""Ringo (film)"", ""Richard Starkey Jr."", ""Ringo starr"", ""Richard Henry Parkin Starkey Jr.""]",False,0.0302,0.8221,0.8523,7587.0,32607.0,175.99,144.6815
20260630_114327,100,random,45,,8,707,The Marquesas Islands lie in which ocean?,Pacific Ocean,"[""Pacific Basin"", ""Oceanum pacificum"", ""Sea of Magellan"", ""Pacific region"", ""PAcific"", ""North Pacific Ocean"", ""Peaceful sea"", ""Eastern Pacific Ocean"", ""Mar del Sur"", ""South-Western Pacific"", ""West Pacific"", ""Eastern Pacific"", ""South Pacific Ocean"", ""North Pacific ocean"", ""South-western Pacific"", ""Pacific Ocean"", ""North Pacific fisheries"", ""Western Pacific Ocean"", ""Southern Pacific Ocean"", ""Pacific (ocean)"", ""Pacific basin"", ""Pacific Oceans"", ""North Pacific"", ""Pacific ocean"", ""Mid-Pacific"", ""Great South Sea"", ""Pacific"", ""Tepre Pacificum"", ""East Pacific""]",True,0.0443,0.8095,0.8538,7587.0,32607.0,176.27,142.6888
20260630_114327,100,random,45,,9,2370,The magic lantern was an early form of what item of photographic equipment?,projector,"[""SLIDE PROJECTOR"", ""Slide projectors"", ""Slide projector"", ""Slide projection"", ""Film slides""]",False,0.0303,0.817,0.8472,7587.0,32607.0,175.21,143.1406
20260630_114327,100,random,45,,10,15868,In which Hampshire village is the National Motor Museum?,Beaulieu,"[""Beaulieu"", ""Beaulieu (disambiguation)""]",True,0.0313,0.813,0.8443,7587.0,32607.0,175.85,142.9704
20260630_114327,100,random,45,,11,361,What is the largest city in Turkey?,Istanbul,"[""Stambulu"", ""Istanbul (Turkey)"", ""Istanbul"", ""UN/LOCODE:TRIST"", ""Kushta"", ""Historic Areas of İstanbul"", ""Easthambull"", ""Istanbul Metropolitan Municipality"", ""Konstantiniye"", ""Istamboul"", ""Instanbul"", ""Stambol"", ""City of Istanbul"", ""Micklegard"", ""Lygos"", ""Islambol"", ""East Ham Bull"", ""Istambul"", ""İstanbul"", ""Stambul"", ""Dersaâdet"", ""Instabul"", ""Constantinople (Turkey)"", ""Istanbull"", ""Ligos"", ""Tzarigrad"", ""Constantinopole, Turkey"", ""Constantinople (modern city)"", ""Topboğazi"", ""Istanbul, Turkey"", ""İstanbul, Turkey"", ""Istanbuler""]",True,0.0369,0.8145,0.8514,7584.0,32607.0,174.57,142.1903
20260630_114327,100,random,45,,12,3763,"""Which German social economist of Jewish descent, expelled from Germany and France, co-wrote in London """"The Communist Manifesto"""" and """"Das Kapital""""?""",Karl Marx,"[""Karl Marx"", ""Karl Heinrich Marx"", ""K. H. Marx"", ""Marx, Karl"", ""K Marx"", ""Carl Heinrich Marx"", ""Carl Marks"", ""K. Marx"", ""Karol Marks"", ""Carl Marx"", ""Father of Communism"", ""Karl Marks"", ""Karl marx"", ""Marx""]",True,0.0305,0.8108,0.8413,7581.0,32607.0,174.49,141.4849
