metric,value
session_id,20260618_141152
start_time,2026-06-18 14:12:15
end_time,2026-06-18 14:12:20
comment,Test cloud Gemma API with local TriviaQA
api_url,https://mz03pvri9mo2p2-8000.proxy.runpod.net/ask_gemma
total_questions,3
correct_answers,1
accuracy,0.3333
total_client_api_time_seconds,4.8012
avg_client_api_total_time_seconds,1.6004
total_network_overhead_time_seconds,2.2654
avg_network_overhead_time_seconds,0.7551
total_cloud_time_seconds,2.5358
avg_cloud_total_time_seconds,0.8453
total_processing_non_inference_time_seconds,0.1365
avg_processing_non_inference_time_seconds,0.0455
total_inference_time_seconds,2.3993
avg_inference_time_seconds,0.7998
avg_gpu_memory_used_mb,5620.0
gpu_memory_total_mb,32607.0
avg_gpu_power_watts,114.92
total_energy_joules_estimate,244.5938
