session_id,question_number_in_session,question_index_in_dataset,mode,seed,start_index,question,model_answer,ground_truth_aliases,is_correct,elapsed_time_seconds,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_watts,energy_joules_estimate
20260610_183934,1,234,ordered,,234,What is the fastest animal on two legs?,The cheetah.,"[""Ostrich farms"", ""An Ostrich"", ""Ostrich Egg"", ""Ostriches"", ""Struthio camelus"", ""Ostrage"", ""Common Ostrich"", ""Ostrich farming"", ""Masai Ostrich"", ""Ostritch"", ""Common ostrich"", ""Osterich"", ""Ostrish"", ""Struthious"", ""Osterish"", ""Ostrich"", ""Ostrich farm"", ""Ostridge"", ""Ostrich Racing"", ""Ostrich race"", ""Ostrich meat"", ""Ostrich farmer""]",False,0.9018,5340.0,24576.0,60.72,54.7593
20260610_183934,2,235,ordered,,234,What is the green pigment used by plants to trap sunlight?,Chlorophyll,"[""C55H70O6N4Mg"", ""Chlorophyll"", ""Chorophyll"", ""C55H72O5N4Mg"", ""Chlorophyl"", ""Chlorophylls"", ""Chlorophyllose"", ""Chlorafil"", ""E140 (E number)"", ""Chlorophyllous"", ""C35H30O5N4Mg"", ""Leaf-green"", ""Clorophyl"", ""C54H70O6N4Mg"", ""Chlorophil"", ""Clorofill"", ""Leafgreen"", ""Cholorophyll"", ""Cholorophyl"", ""Leaf green"", ""C35H28O5N4Mg""]",True,0.8811,5340.0,24576.0,206.5,181.9449
20260610_183934,3,236,ordered,,234,What id the name given to the study of birds?,Ornithology,"[""Ornothology"", ""Study of Birds"", ""Ornithology"", ""Science of birds"", ""Ornithologist"", ""Ornithologically"", ""Ornithological"", ""History of ornithology"", ""Birdlore"", ""Ornithologic"", ""Orthinology"", ""Bird watching towers"", ""Ornathology""]",True,0.8648,5340.0,24576.0,214.07,185.1275
20260610_183934,4,237,ordered,,234,"Of which reptile are there only two species, one living in the Mississippi and the other in China?",Alligator,"[""Alligator"", ""Alligators"", ""Aligator""]",True,0.8668,5342.0,24576.0,214.93,186.2967
20260610_183934,5,238,ordered,,234,"What type of seaweed grows up to 100 meters in length, and is farmed for its alginates?",Kelp,"[""Laminariales"", ""Kelp"", ""Kelps""]",True,0.904,5342.0,24576.0,212.4,192.0072
20260610_183934,6,239,ordered,,234,Where in a vertebrate would you find the protein myoglobin?,In the muscle cells of vertebrates,"[""Muscle tissue""]",False,0.87,5340.0,24576.0,214.9,186.9651
20260610_183934,7,240,ordered,,234,"What is the most abundant substance in the plant kingdom, which no mammal produces the enzyme to digest?",Cellulose,"[""E460"", ""Rosette terminal complex"", ""Cellulosic"", ""Cellulolysis"", ""Cellulose ester"", ""Cellulolytic"", ""Cellulose"", ""Cellulolysys"", ""Tunicin"", ""Tunicine""]",True,0.8656,5342.0,24576.0,215.7,186.7102
20260610_183934,8,241,ordered,,234,"Which family of insects has species named 'drivers', 'weavers', 'and even individuals called 'soldiers'?",Wasps,"[""History of ants"", ""Giant ant"", ""Ant trail"", ""Worker ant"", ""Drone Ant"", ""Ants"", ""Formicidae"", ""Ant"", ""Ants communication"", ""Ergate"", ""Ant trails"", ""🐜""]",False,0.8596,5342.0,24576.0,215.71,185.4259
20260610_183934,9,242,ordered,,234,What name is given to the study of animal behavior?,Ethology,"[""Animal behavior"", ""Behavioural biology"", ""Behavioral Biology"", ""Social ethology"", ""Animal behaviorist"", ""Behavior (biology)"", ""Natural Behavior"", ""Ethological"", ""Animal Learning"", ""Behaviour (biology)"", ""Ethography"", ""Animal behaviour"", ""Animal Behavior"", ""Ethology"", ""Bestial Instinct"", ""Animal Behaviour"", ""Ethologist"", ""History of ethology"", ""Behavioral biology"", ""Behavior, animal"", ""Ethologists"", ""Etology""]",True,0.8625,5340.0,24576.0,216.47,186.7007
20260610_183934,10,243,ordered,,234,Mosses are classified as belonging to which part of the plant kingdom?,Bryophyta,"[""Bryophyta (disambiguation)"", ""Bryophyta""]",True,0.868,5342.0,24576.0,216.38,187.8274
20260610_183934,11,244,ordered,,234,"Which rodent rears its young, called kittens, in a nest called a drey?",Squirrel,"[""Skiouros"", ""Squirrell"", ""Squirell"", ""Squirel"", ""Scuridae"", ""Eichhornchen"", ""Squirl"", ""Squirrels"", ""Eichhoernchen"", ""Sciuridae"", ""Eichhörnchen"", ""Rats with bushy tails"", ""Scuiridae"", ""Squirrel"", ""Bushy tailed tree rat"", ""Bigtail rat"", ""Sciurid"", ""Squirrl""]",True,0.8922,5342.0,24576.0,214.35,191.2428
20260610_183934,12,245,ordered,,234,What has a central vein called a midrib?,A leaf,"[""Adaxial"", ""Leaf"", ""Venatious"", ""Leavedly"", ""Midrib"", ""Veinlets"", ""Leafiness"", ""Opposite (botany)"", ""Leaf margin"", ""Leaf axils"", ""Leafedly"", ""Leaf veins"", ""Vein in Plants"", ""True leaves"", ""Mucro"", ""Basal leaf"", ""Spongy layer"", ""Abaxial"", ""Simple leaf"", ""Complex leaves"", ""Leaf margins"", ""Foilage"", ""Lepidote"", ""Parallel venation"", ""Leaf axil"", ""Hysteranthy"", ""Foliar"", ""Crenate"", ""Leaf sheath"", ""Compound leaves"", ""Complex leaf"", ""Leaf (botany)"", ""Dentate leaf"", ""Compound leaf"", ""Big-leafed"", ""Oblanceolate"", ""Elepidote"", ""Foliages"", ""Leaves"", ""Pinnately compound"", ""Megaphylls"", ""Simple (leaf)"", ""Leaves (botany)"", ""Mesophyll tissue"", ""Vein (botany)"", ""Elepidotes"", ""Foliage"", ""Axils"", ""Opposite (leaf)"", ""Axil"", ""Alternate (leaf)"", ""Leafily"", ""Plant leaves"", ""Alternate leaf"", ""Clasping"", ""Leafage"", ""Reticulate venation"", ""Leaf vein"", ""Alternate (botany)"", ""Mesophyll cell"", ""Simple leaves"", ""Leaf anatomy"", ""Simple (botany)""]",True,0.8758,5340.0,24576.0,214.59,187.93
